feature,coefficient,abs_coefficient
away_ppg,-0.5316428057042976,0.5316428057042976
defensive_advantage,0.4523538439727843,0.4523538439727843
home_ppg,0.4352981201585701,0.4352981201585701
away_opp_ppg,0.25528330285126266,0.25528330285126266
home_opp_ppg,-0.20346140901507767,0.20346140901507767
offensive_advantage,0.18418990158494125,0.18418990158494125
back_to_back_away,0.15323024862913304,0.15323024862913304
away_last10_win_pct,-0.12840062138308353,0.12840062138308353
back_to_back_home,-0.10061166222371701,0.10061166222371701
home_last10_win_pct,0.09074033328336659,0.09074033328336659
strength_differential,0.06746181139958858,0.06746181139958858
away_paint_pts_pg,0.05852011936227093,0.05852011936227093
home_win_pct,0.0549951280793043,0.0549951280793043
home_stl_blk_pg,0.04915173439417143,0.04915173439417143
num_inactive_away,0.04589780646290836,0.04589780646290836
away_win_pct,-0.0404341627783525,0.0404341627783525
home_fg3_pct,-0.03775372451426531,0.03775372451426531
away_apg,-0.036135845321210926,0.036135845321210926
rest_advantage,-0.0359952267053852,0.0359952267053852
home_fastbreak_pts_pg,-0.0348708026867859,0.0348708026867859
home_apg,0.031202513518048317,0.031202513518048317
days_rest_away,0.02851003988474908,0.02851003988474908
num_inactive_home,-0.026709462396903368,0.026709462396903368
away_scoring_trend,-0.026465620058139558,0.026465620058139558
home_scoring_trend,0.02464469418894436,0.02464469418894436
home_topg,-0.024597815941132087,0.024597815941132087
away_last5_win_pct,0.023508878985622778,0.023508878985622778
video_available_away,-0.023280968788204078,0.023280968788204078
video_available_home,-0.023280968788204078,0.023280968788204078
away_fg_pct,0.023058609683480037,0.023058609683480037
away_ft_pct,0.02031452298672964,0.02031452298672964
away_fastbreak_pts_pg,0.01802324342032667,0.01802324342032667
form_difference,-0.015721733484959914,0.015721733484959914
away_rpg,-0.015574059559302736,0.015574059559302736
home_rpg,-0.015048063074601782,0.015048063074601782
home_ft_pct,-0.012130954202913264,0.012130954202913264
days_rest_home,-0.010599169325788737,0.010599169325788737
away_stl_blk_pg,-0.009842738772568863,0.009842738772568863
home_fg_pct,0.00860271474513552,0.00860271474513552
is_weekend,-0.007865342774015705,0.007865342774015705
away_topg,-0.006789399464151436,0.006789399464151436
away_fg3_pct,-0.00648566047834896,0.00648566047834896
home_paint_pts_pg,0.005898379009577286,0.005898379009577286
home_last5_win_pct,0.0011725342286625496,0.0011725342286625496
home_court_advantage,0.0,0.0
